page,rows,elapsed_ms
560,1000,2.206
561,1000,2.288
562,1000,2.502
563,1000,2.379
564,1000,2.332
565,1000,2.763
566,1000,2.773
567,1000,2.233
568,1000,2.407
569,1000,2.453
570,1000,3.723
571,1000,2.361
572,1000,3.742
573,1000,2.240
574,1000,2.286
575,1000,2.248
576,1000,2.526
577,1000,2.485
578,1000,2.594
579,1000,2.416
580,1000,2.395
581,1000,2.325
582,1000,3.128
583,1000,2.487
584,1000,2.606
585,1000,2.321
586,1000,2.459
587,1000,2.342
588,1000,2.637
589,1000,2.476
590,1000,2.598
591,1000,2.358
592,1000,2.517
593,1000,2.324
594,1000,2.590
595,1000,2.342
596,1000,2.261
597,1000,2.382
598,1000,2.433
599,1000,2.420
600,1000,2.476
601,1000,2.335
602,1000,2.350
603,1000,2.334
604,1000,3.350
605,1000,3.716
606,1000,4.372
607,1000,2.282
608,1000,2.218
609,1000,2.909
610,1000,3.741
611,1000,2.367
612,1000,2.916
613,1000,2.370
614,1000,2.203
615,1000,2.205
616,1000,2.261
617,1000,2.344
618,1000,2.205
619,1000,2.276
620,1000,3.753
621,1000,2.249
622,1000,3.193
623,1000,2.413
624,1000,2.777
625,1000,3.354
626,1000,2.367
627,1000,2.540
628,1000,3.298
629,1000,2.380
630,1000,3.270
631,1000,2.595
632,1000,2.695
633,1000,2.422
634,1000,2.449
635,1000,2.361
636,1000,2.494
637,1000,2.394
638,1000,2.345
639,1000,3.649
640,1000,3.252
641,1000,2.914
642,1000,4.002
643,1000,3.770
644,1000,2.895
645,1000,4.073
646,1000,2.861
647,1000,2.445
648,1000,2.534
649,1000,2.390
650,1000,2.501
651,1000,2.447
652,1000,2.481
653,1000,3.005
654,1000,2.332
655,1000,2.225
656,1000,2.397
657,1000,2.639
658,1000,3.488
659,1000,3.266
660,1000,2.529
661,1000,2.368
662,1000,2.954
663,1000,2.840
664,1000,2.956
665,1000,2.754
666,1000,3.474
667,1000,3.311
668,1000,2.436
669,1000,3.430
670,1000,3.928
671,1000,2.223
672,1000,2.593
673,1000,3.507
674,1000,2.265
675,1000,4.042
676,1000,2.364
677,1000,3.831
678,1000,2.395
679,1000,2.270
680,1000,2.387
681,1000,2.649
682,1000,2.362
683,1000,2.649
684,1000,2.653
685,1000,2.648
686,1000,2.456
687,1000,2.345
688,1000,2.366
689,1000,2.397
690,1000,2.399
691,1000,3.971
692,1000,2.264
693,1000,2.953
694,1000,2.604
695,1000,3.602
696,1000,2.405
697,1000,2.464
698,1000,3.303
699,1000,3.320
700,1000,2.986
701,1000,3.260
702,1000,3.751
703,1000,2.238
704,1000,2.179
705,1000,2.469
706,1000,2.258
707,1000,2.368
708,1000,3.389
709,1000,2.578
710,1000,3.443
711,1000,3.693
712,1000,2.360
713,1000,3.292
714,1000,2.405
715,1000,2.423
716,1000,4.028
717,1000,3.285
718,1000,2.305
719,1000,3.232
720,1000,3.887
721,1000,2.899
722,1000,3.274
723,1000,3.254
724,1000,3.314
725,1000,2.645
726,1000,3.910
727,1000,2.346
728,1000,2.527
729,1000,2.342
730,1000,2.387
731,1000,2.647
732,1000,2.397
733,1000,2.428
734,1000,2.449
735,1000,2.232
736,1000,2.436
737,1000,2.639
738,1000,2.587
739,1000,2.805
740,1000,2.421
741,1000,3.296
742,1000,3.091
743,1000,2.236
744,1000,3.334
745,1000,2.439
746,1000,2.299
747,1000,2.515
748,1000,2.397
749,1000,2.518
750,1000,2.504
751,1000,3.218
752,1000,3.937
753,1000,2.665
754,1000,2.430
755,1000,2.416
756,1000,2.874
757,1000,2.391
758,1000,2.417
759,1000,3.807
760,1000,2.243
761,1000,2.763
762,1000,2.347
763,1000,2.222
764,1000,2.268
765,1000,2.233
766,1000,2.399
767,1000,2.321
768,1000,2.942
769,1000,2.347
770,1000,3.613
771,1000,2.265
772,1000,2.452
773,1000,2.334
774,1000,2.369
775,1000,3.557
776,1000,2.708
777,1000,2.262
778,1000,3.428
779,1000,2.226
780,1000,2.538
781,1000,2.475
782,1000,2.256
783,1000,2.348
784,1000,2.387
785,1000,2.418
786,1000,2.909
787,1000,2.387
788,1000,2.361
789,1000,2.316
790,1000,2.482
791,1000,2.379
792,1000,2.451
793,1000,2.451
794,1000,2.457
795,1000,2.304
796,1000,2.198
797,1000,3.023
798,1000,3.387
799,1000,2.336
800,1000,2.205
801,1000,2.228
802,1000,3.725
803,1000,2.145
804,1000,4.360
805,1000,3.679
806,1000,3.186
807,1000,2.297
808,1000,3.697
809,1000,2.234
810,1000,2.242
811,1000,2.171
812,1000,2.206
813,1000,2.268
814,1000,2.298
815,1000,2.188
816,1000,2.145
817,1000,2.293
818,1000,2.317
819,1000,2.347
820,1000,2.785
821,1000,2.416
822,1000,2.219
823,1000,2.426
824,1000,2.707
825,1000,2.305
826,1000,2.242
827,1000,2.502
828,1000,2.545
829,1000,2.488
830,1000,2.461
831,1000,2.484
832,1000,2.345
833,1000,2.398
834,1000,2.549
835,1000,2.354
836,1000,2.425
837,1000,2.493
838,1000,2.414
839,1000,2.823
840,1000,2.353
841,1000,2.364
842,1000,2.737
843,1000,2.757
844,1000,3.221
845,1000,2.229
846,1000,2.422
847,1000,2.214
848,1000,4.030
849,1000,2.189
850,1000,2.391
851,1000,2.350
852,1000,2.512
853,1000,3.233
854,1000,2.210
855,1000,3.790
856,1000,2.332
857,1000,2.299
858,1000,2.298
859,1000,2.350
860,1000,2.289
861,1000,2.395
862,1000,2.304
863,1000,2.625
864,1000,2.600
865,1000,2.432
866,1000,2.686
867,1000,2.859
868,1000,2.408
869,1000,2.223
870,1000,3.515
871,1000,2.300
872,1000,2.394
873,1000,2.206
874,1000,2.434
875,1000,2.456
876,1000,2.399
877,1000,2.403
878,1000,2.401
879,1000,2.481
880,1000,3.596
881,1000,2.238
