page,rows,elapsed_ms
252,1000,63.852
253,1000,64.848
254,1000,63.708
255,1000,65.087
256,1000,62.394
257,1000,65.278
258,1000,64.813
259,1000,65.820
260,1000,66.311
261,1000,67.644
262,1000,65.666
263,1000,64.246
264,1000,68.484
265,1000,64.919
266,1000,66.931
267,1000,68.706
268,1000,69.046
269,1000,67.345
270,1000,68.447
271,1000,70.260
272,1000,69.746
273,1000,70.937
274,1000,71.240
275,1000,73.696
276,1000,66.710
277,1000,70.831
278,1000,70.778
279,1000,71.800
280,1000,73.299
281,1000,72.717
282,1000,70.184
283,1000,71.608
284,1000,72.398
285,1000,73.779
286,1000,69.625
287,1000,72.584
288,1000,73.037
289,1000,73.736
290,1000,72.377
291,1000,74.300
292,1000,74.583
293,1000,78.024
294,1000,75.570
295,1000,75.751
296,1000,75.545
297,1000,71.255
298,1000,75.099
299,1000,75.602
300,1000,76.705
301,1000,70.964
302,1000,68.789
303,1000,74.238
304,1000,76.188
305,1000,74.365
306,1000,71.196
307,1000,78.453
308,1000,76.951
309,1000,76.494
310,1000,72.411
311,1000,79.291
312,1000,79.505
313,1000,75.483
314,1000,79.332
315,1000,79.279
316,1000,77.564
317,1000,74.217
318,1000,73.391
319,1000,73.535
320,1000,82.702
321,1000,82.233
322,1000,81.650
323,1000,81.614
324,1000,77.933
325,1000,82.179
326,1000,75.608
327,1000,76.988
328,1000,76.862
329,1000,77.391
330,1000,78.288
331,1000,78.488
332,1000,78.197
333,1000,79.080
334,1000,78.128
335,1000,78.769
336,1000,81.117
337,1000,79.659
338,1000,80.549
339,1000,79.754
340,1000,80.647
341,1000,80.842
342,1000,81.818
343,1000,81.350
344,1000,80.792
345,1000,80.269
346,1000,79.542
347,1000,82.053
348,1000,81.719
349,1000,81.819
350,1000,82.715
351,1000,83.773
352,1000,83.479
353,1000,84.415
354,1000,83.974
355,1000,84.817
356,1000,84.390
357,1000,85.522
358,1000,85.045
359,1000,84.658
360,1000,85.546
361,1000,86.448
362,1000,87.072
363,1000,87.443
364,1000,87.207
365,1000,87.796
366,1000,85.863
367,1000,85.503
368,1000,86.644
369,1000,86.118
370,1000,89.415
371,1000,89.096
372,1000,89.227
373,1000,91.673
374,1000,91.799
375,1000,91.810
376,1000,93.630
377,1000,89.105
378,1000,90.161
379,1000,92.502
380,1000,99.593
381,1000,91.947
382,1000,91.590
383,1000,91.380
384,1000,98.400
385,1000,94.860
386,1000,98.805
387,1000,99.106
388,1000,90.141
389,1000,90.583
390,1000,93.868
391,1000,95.962
392,1000,95.257
393,1000,94.610
394,1000,97.557
395,1000,94.842
396,1000,96.169
397,1000,95.855
398,1000,98.528
399,1000,101.788
400,1000,98.732
401,1000,98.190
402,1000,102.618
403,1000,102.279
404,1000,99.437
405,1000,97.325
406,1000,102.053
407,1000,102.445
408,1000,102.141
409,1000,98.872
410,1000,98.777
411,1000,101.024
412,1000,102.835
413,1000,102.696
414,1000,103.023
415,1000,101.940
416,1000,99.018
417,1000,102.875
418,1000,97.549
419,1000,104.531
420,1000,104.599
421,1000,105.271
422,1000,106.111
423,1000,102.144
424,1000,102.214
425,1000,105.072
426,1000,100.275
427,1000,107.364
428,1000,106.614
429,1000,101.562
430,1000,102.871
431,1000,101.105
432,1000,102.253
433,1000,103.087
434,1000,104.023
435,1000,102.412
436,1000,101.884
437,1000,101.572
438,1000,101.835
439,1000,102.805
440,1000,102.955
441,1000,104.104
442,1000,104.837
443,1000,104.615
444,1000,105.943
445,1000,105.326
446,1000,105.756
447,1000,105.125
448,1000,106.998
449,1000,105.677
450,1000,106.955
451,1000,105.859
452,1000,105.891
453,1000,105.797
454,1000,107.755
455,1000,108.250
456,1000,108.870
457,1000,111.123
458,1000,110.240
459,1000,111.358
460,1000,116.420
461,1000,109.657
462,1000,112.373
463,1000,115.290
464,1000,116.592
465,1000,109.217
466,1000,113.209
467,1000,117.704
468,1000,113.783
469,1000,110.248
470,1000,111.393
471,1000,115.382
472,1000,115.756
473,1000,116.405
474,1000,113.721
475,1000,115.042
476,1000,118.095
477,1000,111.767
478,1000,111.033
479,1000,118.905
480,1000,116.944
481,1000,118.039
482,1000,120.958
483,1000,116.641
484,1000,117.680
485,1000,117.799
486,1000,120.623
487,1000,118.108
488,1000,117.061
489,1000,120.325
490,1000,116.095
491,1000,115.386
492,1000,120.942
493,1000,118.732
494,1000,122.698
495,1000,120.566
496,1000,121.443
497,1000,122.028
498,1000,121.164
499,1000,121.364
500,1000,114.903
501,1000,119.271
502,1000,118.724
503,1000,126.556
504,1000,119.321
505,1000,120.126
506,1000,121.061
507,1000,120.285
508,1000,119.503
509,1000,117.357
510,1000,118.149
511,1000,118.025
512,1000,121.374
513,1000,119.410
514,1000,118.994
515,1000,119.396
516,1000,119.535
517,1000,120.734
518,1000,119.313
519,1000,120.787
520,1000,120.182
521,1000,120.219
522,1000,121.206
523,1000,122.406
524,1000,122.736
525,1000,122.998
526,1000,121.896
527,1000,122.521
528,1000,122.822
529,1000,121.829
530,1000,122.755
531,1000,123.217
532,1000,123.223
533,1000,123.667
534,1000,123.559
535,1000,124.543
536,1000,124.151
537,1000,122.823
538,1000,124.619
539,1000,125.110
540,1000,124.338
541,1000,124.982
542,1000,125.207
543,1000,124.940
544,1000,125.443
545,1000,126.690
546,1000,126.185
547,1000,127.621
548,1000,126.447
549,1000,127.398
550,1000,127.105
551,1000,127.617
552,1000,127.907
553,1000,128.925
554,1000,128.367
555,1000,129.836
556,1000,129.197
557,1000,128.289
558,1000,129.663
559,1000,129.859
560,1000,129.921
561,1000,130.027
562,1000,131.575
563,1000,130.974
564,1000,130.305
565,1000,132.394
566,1000,135.376
567,1000,135.960
568,1000,134.950
569,1000,134.428
570,1000,135.045
571,1000,133.897
572,1000,134.124
573,1000,136.710
574,1000,136.744
575,1000,135.859
576,1000,136.457
577,1000,137.633
578,1000,134.914
579,1000,137.941
580,1000,134.851
581,1000,136.722
582,1000,177.437
583,1000,135.598
584,1000,133.429
585,1000,135.295
586,1000,138.392
587,1000,137.640
588,1000,139.413
589,1000,136.612
590,1000,137.051
591,1000,136.180
592,1000,137.164
593,1000,134.996
594,1000,135.183
595,1000,137.595
596,1000,136.763
597,1000,137.365
598,1000,138.905
599,1000,139.964
600,1000,142.554
601,1000,143.996
602,1000,142.250
603,1000,144.263
604,1000,143.120
605,1000,142.514
606,1000,145.116
607,1000,143.995
608,1000,141.902
609,1000,141.557
610,1000,140.275
611,1000,140.521
612,1000,146.351
613,1000,141.309
614,1000,144.532
615,1000,148.908
616,1000,147.988
617,1000,146.493
618,1000,147.385
619,1000,147.968
620,1000,143.945
621,1000,144.631
622,1000,149.606
623,1000,148.725
624,1000,151.297
625,1000,148.464
626,1000,147.705
627,1000,146.627
628,1000,147.863
629,1000,148.780
630,1000,148.550
631,1000,148.360
632,1000,148.341
633,1000,149.275
634,1000,146.548
635,1000,150.715
636,1000,150.875
637,1000,150.174
638,1000,153.733
639,1000,150.870
640,1000,145.270
641,1000,148.316
642,1000,152.176
643,1000,153.830
644,1000,148.891
645,1000,149.436
646,1000,154.953
647,1000,156.234
648,1000,152.308
649,1000,153.485
650,1000,153.075
651,1000,150.204
652,1000,150.609
653,1000,153.390
654,1000,152.695
655,1000,153.364
656,1000,155.312
657,1000,154.349
658,1000,155.999
659,1000,156.964
660,1000,156.893
661,1000,156.410
662,1000,157.865
663,1000,152.374
664,1000,149.066
665,1000,155.760
666,1000,156.196
667,1000,155.479
668,1000,158.748
669,1000,158.129
670,1000,156.121
671,1000,158.605
672,1000,159.871
673,1000,159.043
674,1000,156.154
675,1000,155.934
676,1000,159.480
677,1000,159.021
678,1000,156.982
679,1000,160.227
680,1000,154.699
681,1000,159.884
682,1000,161.895
683,1000,155.009
684,1000,157.357
685,1000,160.814
686,1000,161.871
687,1000,159.982
688,1000,162.443
689,1000,157.694
690,1000,161.874
691,1000,162.588
692,1000,162.057
693,1000,159.135
694,1000,161.380
695,1000,160.533
696,1000,165.768
697,1000,164.283
698,1000,165.934
699,1000,165.899
700,1000,163.606
701,1000,160.991
702,1000,164.443
703,1000,163.946
704,1000,165.436
705,1000,167.025
706,1000,167.722
707,1000,162.008
708,1000,161.409
709,1000,161.898
710,1000,159.719
711,1000,163.186
712,1000,162.326
713,1000,168.206
714,1000,161.792
715,1000,165.423
716,1000,169.814
717,1000,165.103
718,1000,165.961
719,1000,164.510
720,1000,169.608
721,1000,169.337
722,1000,171.582
723,1000,169.622
724,1000,169.360
725,1000,168.385
726,1000,171.806
727,1000,171.192
728,1000,171.291
729,1000,172.158
730,1000,173.222
731,1000,170.365
732,1000,167.568
733,1000,171.327
734,1000,168.218
735,1000,173.880
736,1000,172.929
737,1000,171.970
738,1000,173.796
739,1000,173.249
740,1000,172.743
741,1000,172.056
742,1000,174.978
743,1000,173.997
744,1000,173.554
745,1000,172.367
746,1000,173.809
747,1000,175.069
748,1000,173.112
749,1000,172.482
750,1000,177.511
751,1000,175.677
752,1000,177.377
753,1000,177.425
754,1000,178.554
755,1000,178.663
756,1000,178.223
757,1000,174.186
758,1000,178.028
759,1000,177.430
760,1000,173.858
761,1000,175.172
762,1000,177.590
763,1000,177.386
764,1000,176.776
765,1000,179.142
766,1000,179.387
767,1000,176.939
768,1000,178.704
769,1000,179.862
770,1000,179.818
771,1000,180.230
772,1000,181.579
773,1000,179.068
774,1000,182.185
775,1000,180.523
776,1000,182.086
777,1000,180.348
778,1000,185.396
779,1000,184.290
780,1000,184.125
781,1000,177.546
782,1000,176.414
783,1000,183.709
784,1000,188.199
785,1000,186.862
786,1000,183.880
787,1000,183.507
788,1000,183.215
789,1000,183.235
790,1000,186.476
791,1000,186.345
792,1000,178.253
793,1000,183.855
794,1000,183.371
795,1000,181.480
796,1000,180.566
797,1000,182.306
798,1000,185.648
799,1000,186.424
800,1000,186.144
801,1000,187.195
802,1000,185.001
803,1000,184.426
804,1000,188.455
805,1000,187.312
806,1000,186.852
807,1000,188.394
808,1000,188.055
809,1000,190.133
810,1000,189.373
811,1000,188.880
812,1000,186.415
813,1000,189.105
814,1000,188.803
815,1000,186.813
816,1000,186.653
817,1000,189.920
818,1000,190.901
819,1000,193.275
820,1000,189.885
821,1000,192.987
822,1000,192.751
823,1000,191.138
824,1000,192.610
825,1000,190.684
826,1000,192.172
827,1000,193.886
828,1000,194.210
829,1000,190.687
830,1000,192.718
831,1000,188.441
832,1000,191.289
833,1000,191.280
834,1000,197.060
835,1000,191.310
836,1000,194.838
837,1000,197.101
838,1000,193.285
839,1000,193.768
840,1000,194.986
841,1000,197.201
842,1000,197.830
843,1000,196.297
844,1000,193.211
845,1000,197.725
846,1000,198.258
847,1000,198.119
848,1000,198.879
849,1000,194.473
850,1000,194.780
851,1000,198.052
852,1000,200.287
853,1000,199.709
854,1000,199.047
855,1000,201.507
856,1000,199.499
857,1000,200.597
858,1000,200.047
859,1000,199.079
860,1000,202.281
861,1000,195.444
862,1000,199.682
863,1000,201.367
864,1000,202.328
865,1000,200.915
866,1000,195.182
867,1000,198.984
868,1000,202.739
869,1000,201.217
870,1000,204.153
871,1000,203.252
872,1000,205.571
873,1000,204.526
874,1000,197.777
875,1000,202.742
876,1000,205.203
877,1000,206.786
878,1000,205.706
879,1000,199.684
880,1000,203.445
881,1000,203.558
882,1000,204.868
883,1000,204.095
884,1000,204.369
885,1000,205.402
886,1000,202.642
887,1000,205.169
888,1000,205.472
889,1000,206.375
890,1000,209.238
891,1000,208.298
892,1000,207.633
893,1000,207.079
894,1000,207.680
895,1000,202.970
896,1000,206.425
897,1000,207.860
898,1000,208.400
899,1000,209.080
900,1000,208.865
901,1000,210.498
902,1000,211.116
903,1000,212.583
904,1000,204.097
905,1000,210.451
906,1000,208.363
907,1000,212.041
908,1000,212.883
909,1000,210.736
910,1000,212.697
911,1000,213.790
912,1000,214.289
913,1000,208.713
914,1000,212.795
915,1000,213.071
916,1000,211.725
917,1000,206.509
918,1000,209.306
919,1000,214.040
920,1000,211.433
921,1000,211.557
922,1000,207.800
923,1000,209.744
924,1000,204.850
925,1000,216.019
926,1000,216.061
927,1000,218.604
928,1000,214.859
929,1000,214.184
930,1000,214.526
931,1000,213.426
932,1000,210.950
933,1000,215.657
934,1000,211.954
935,1000,213.634
936,1000,210.639
937,1000,213.827
938,1000,215.410
939,1000,217.052
940,1000,217.999
941,1000,219.930
942,1000,219.468
943,1000,213.861
944,1000,212.851
945,1000,216.797
946,1000,220.756
947,1000,221.245
948,1000,221.623
949,1000,222.320
950,1000,219.815
951,1000,220.149
952,1000,219.724
953,1000,223.565
954,1000,222.834
955,1000,222.008
956,1000,221.536
957,1000,218.019
958,1000,223.035
959,1000,224.798
960,1000,222.552
961,1000,222.765
962,1000,223.968
963,1000,223.267
964,1000,222.090
965,1000,220.656
966,1000,224.220
967,1000,223.940
968,1000,222.578
969,1000,224.337
970,1000,224.402
971,1000,223.508
972,1000,227.626
973,1000,223.406
974,1000,223.550
975,1000,223.361
976,1000,226.281
977,1000,226.125
978,1000,222.764
979,1000,227.457
980,1000,224.350
981,1000,225.370
982,1000,227.426
983,1000,228.638
984,1000,225.947
985,1000,225.393
986,1000,230.606
987,1000,227.201
988,1000,227.621
989,1000,227.449
990,1000,230.793
991,1000,228.326
992,1000,229.333
993,1000,228.646
994,1000,231.685
995,1000,229.704
996,1000,225.977
997,1000,229.636
998,1000,232.228
999,1000,231.513
1000,1000,231.890
1001,1000,232.044
1002,1000,230.860
1003,1000,230.521
1004,1000,230.778
1005,1000,233.068
1006,1000,232.065
1007,1000,230.553
1008,1000,233.782
1009,1000,229.297
1010,1000,233.711
1011,1000,234.100
1012,1000,232.049
1013,1000,230.617
1014,1000,234.857
1015,1000,233.209
1016,1000,230.551
1017,1000,235.455
1018,1000,231.023
1019,1000,231.154
1020,1000,235.685
1021,1000,235.756
1022,1000,236.101
1023,1000,232.386
1024,1000,234.825
1025,1000,235.581
1026,1000,235.019
1027,1000,236.380
1028,1000,228.699
1029,1000,232.076
1030,1000,240.189
1031,1000,236.795
1032,1000,238.658
1033,1000,234.310
1034,1000,237.443
1035,1000,235.582
1036,1000,237.844
1037,1000,237.504
1038,1000,239.251
1039,1000,236.184
1040,1000,239.030
1041,1000,239.386
1042,1000,239.742
1043,1000,236.202
1044,1000,239.476
1045,1000,241.378
1046,1000,241.766
1047,1000,238.169
1048,1000,241.858
1049,1000,238.899
1050,1000,241.253
1051,1000,240.347
1052,1000,242.960
1053,1000,243.309
1054,1000,244.996
1055,1000,240.961
1056,1000,242.207
1057,1000,241.731
1058,1000,244.165
1059,1000,243.682
1060,1000,241.084
1061,1000,242.822
1062,1000,243.028
1063,1000,244.502
1064,1000,244.715
1065,1000,242.408
1066,1000,247.353
1067,1000,247.779
1068,1000,244.495
1069,1000,249.015
1070,1000,245.086
1071,1000,244.050
1072,1000,242.578
1073,1000,249.020
1074,1000,248.346
1075,1000,248.229
1076,1000,246.600
1077,1000,249.060
